,TP,TN,FP,FN,ACC,TPR,FPR
375,2741,3409,3321,2743,0.5035205501883085,0.49981765134938,0.4934621099554235
376,2723,3418,3424,2649,0.5027836908465695,0.5068875651526433,0.5004384682841274
377,2638,3456,3430,2690,0.49893564761748815,0.49512012012012013,0.4981121115306419
378,2775,3314,3431,2694,0.49852628131652205,0.5074053757542513,0.5086730911786509
379,2719,3375,3396,2724,0.49893564761748815,0.4995406944699614,0.5015507310589278
380,2741,3421,3350,2702,0.5045030293106272,0.5035825831343009,0.4947570521341013
381,2698,3393,3383,2740,0.49869002783690847,0.4961382861346083,0.4992621015348288
382,2633,3410,3344,2827,0.49476011134763387,0.48223443223443224,0.495114006514658
383,2706,3359,3374,2775,0.4965613230718847,0.49370552818828684,0.5011139165305213
384,2731,3366,3393,2724,0.4991812673980678,0.5006416131989001,0.5019973368841545
385,2676,3356,3362,2820,0.49385950548550844,0.4868995633187773,0.5004465614766299
386,2714,3294,3398,2808,0.4918945472408711,0.4914885910901847,0.5077704722056187
387,2669,3398,3365,2782,0.49672506959227114,0.48963492937075764,0.49756025432500367
388,2706,3417,3375,2716,0.5013099721630916,0.49907783105864995,0.49690812720848054
389,2735,3372,3382,2725,0.5,0.5009157509157509,0.5007403020432336
390,2705,3337,3436,2736,0.49467823808744066,0.49715125895975004,0.5073084305329987
391,2702,3403,3339,2770,0.4998362534796136,0.49378654970760233,0.49525363393651733
392,2807,3251,3468,2688,0.4959882102505322,0.510828025477707,0.5161482363446942
393,2663,3387,3507,2657,0.4953332241689864,0.5005639097744361,0.5087032201914709
394,2643,3434,3392,2745,0.49754380219420336,0.4905345211581292,0.4969235276882508
395,2687,3414,3351,2762,0.4995087604388407,0.4931180033033584,0.4953436807095344
396,2670,3324,3439,2781,0.49074832159816606,0.4898183819482664,0.5085021440189265
397,2728,3426,3422,2638,0.5038480432290814,0.508386134923593,0.49970794392523366
398,2736,3350,3351,2777,0.49828066153594236,0.4962815164157446,0.5000746157289957
399,2718,3421,3363,2712,0.5026199443261831,0.5005524861878453,0.4957252358490566
400,2685,3375,3392,2762,0.4961519567709186,0.49293188911327335,0.5012560957588296
401,2767,3346,3358,2743,0.5004912395611594,0.5021778584392015,0.5008949880668258
